Nomination Number,URL,Congress,Name,Organization,Description,Role,District/Location,Date Received From President,Committee,Latest Action Date,Latest Action,Vote Margin,Record Vote Number,,Length of Confirmation Proceedings,President,Majority,Deliniation,In Favor,Against,Margin
PN903,https://www.congress.gov/nomination/116th-congress/903,116th Congress (2019-2020),R. Austin Huffaker Jr.,The Judiciary,"R. Austin Huffaker, Jr., of Alabama, ", United States District Judge , Middle District of Alabama,7/8/2019,Judiciary,12/4/2019,Confirmed by the Senate by Yea-Nay Vote, 89 - 4, Record Vote Number: 381,,149,4. Trump,Republican,,89,4,85
PN898,https://www.congress.gov/nomination/116th-congress/898,116th Congress (2019-2020),Justin Reed Walker,The Judiciary,"Justin Reed Walker, of Kentucky, ", United States District Judge , Western District of Kentucky,6/24/2019,Judiciary,10/24/2019,Confirmed by the Senate by Yea-Nay Vote, 50 - 41, Record Vote Number: 333,,122,4. Trump,Republican,,50,41,9
PN897,https://www.congress.gov/nomination/116th-congress/897,116th Congress (2019-2020),Eleni Maria Roumel,The Judiciary,"Eleni Maria Roumel, of Maryland, ", a Judge of the United States Court of Federal Claims for a term of fifteen years,,6/24/2019,Judiciary,1/8/2020,Confirmed by the Senate by Yea-Nay Vote, 51 - 47, Record Vote Number: 7,,198,4. Trump,Republican,,51,47,4
PN894,https://www.congress.gov/nomination/116th-congress/894,116th Congress (2019-2020),John Fitzgerald Kness,The Judiciary,"John Fitzgerald Kness, of Illinois, ", United States District Judge , Northern District of Illinois,6/24/2019,Judiciary,2/12/2020,Confirmed by the Senate by Yea-Nay Vote, 81 - 12, Record Vote Number: 43,,233,4. Trump,Republican,,81,12,69
PN854,https://www.congress.gov/nomination/116th-congress/854,116th Congress (2019-2020),Robert Anthony Molloy,The Judiciary,"Robert Anthony Molloy, of the Virgin Islands, ", Judge , District Court of the Virgin Islands for a term of ten years,6/12/2019,Judiciary,2/25/2020,Confirmed by the Senate by Yea-Nay Vote, 97 - 0, Record Vote Number: 54,,258,4. Trump,Republican,,97,0,97
PN853,https://www.congress.gov/nomination/116th-congress/853,116th Congress (2019-2020),David B. Barlow,The Judiciary,"David B. Barlow, of Utah, ", United States District Judge , District of Utah,6/12/2019,Judiciary,12/4/2019,Confirmed by the Senate by Yea-Nay Vote, 88 - 4, Record Vote Number: 382,,175,4. Trump,Republican,,88,4,84
PN784,https://www.congress.gov/nomination/116th-congress/784,116th Congress (2019-2020),Mary Kay Vyskocil,The Judiciary,"Mary Kay Vyskocil, of New York, ", United States District Judge , Southern District of New York,5/21/2019,Judiciary,12/19/2019,Confirmed by the Senate by Yea-Nay Vote, 91 - 3, Record Vote Number: 422,,212,4. Trump,Republican,,91,3,88
PN783,https://www.congress.gov/nomination/116th-congress/783,116th Congress (2019-2020),John L. Sinatra Jr.,The Judiciary,"John L. Sinatra, Jr., of New York, ", United States District Judge , Western District of New York,5/21/2019,Judiciary,12/4/2019,Confirmed by the Senate by Yea-Nay Vote, 75 - 18, Record Vote Number: 378,,197,4. Trump,Republican,,75,18,57
PN782,https://www.congress.gov/nomination/116th-congress/782,116th Congress (2019-2020),Steven C. Seeger,The Judiciary,"Steven C. Seeger, of Illinois, ", United States District Judge , Northern District of Illinois,5/21/2019,Judiciary,9/11/2019,Confirmed by the Senate by Yea-Nay Vote, 90 - 1, Record Vote Number: 279,,113,4. Trump,Republican,,90,1,89
PN781,https://www.congress.gov/nomination/116th-congress/781,116th Congress (2019-2020),Mary M. Rowland,The Judiciary,"Mary M. Rowland, of Illinois, ", United States District Judge , Northern District of Illinois,5/21/2019,Judiciary,7/31/2019,Confirmed by the Senate by Voice Vote,,,,71,4. Trump,Republican,,,,0
PN780,https://www.congress.gov/nomination/116th-congress/780,116th Congress (2019-2020),Martha Maria Pacold,The Judiciary,"Martha Maria Pacold, of Illinois, ", United States District Judge , Northern District of Illinois,5/21/2019,Judiciary,7/31/2019,Confirmed by the Senate by Yea-Nay Vote, 87 - 3, Record Vote Number: 257,,71,4. Trump,Republican,,87,3,84
PN779,https://www.congress.gov/nomination/116th-congress/779,116th Congress (2019-2020),Mary S. McElroy,The Judiciary,"Mary S. McElroy, of Rhode Island, ", United States District Judge , District of Rhode Island,5/21/2019,Judiciary,9/11/2019,Confirmed by the Senate by Voice Vote,,,,113,4. Trump,Republican,,,,0
PN778,https://www.congress.gov/nomination/116th-congress/778,116th Congress (2019-2020),Lewis J. Liman,The Judiciary,"Lewis J. Liman, of New York, ", United States District Judge , Southern District of New York,5/21/2019,Judiciary,12/19/2019,Confirmed by the Senate by Yea-Nay Vote, 64 - 29, Record Vote Number: 425,,212,4. Trump,Republican,,64,29,35
PN777,https://www.congress.gov/nomination/116th-congress/777,116th Congress (2019-2020),Rachel P. Kovner,The Judiciary,"Rachel P. Kovner, of New York, ", United States District Judge , Eastern District of New York,5/21/2019,Judiciary,10/16/2019,Confirmed by the Senate by Yea-Nay Vote, 88 - 3, Record Vote Number: 323,,148,4. Trump,Republican,,88,3,85
PN776,https://www.congress.gov/nomination/116th-congress/776,116th Congress (2019-2020),Eric Ross Komitee,The Judiciary,"Eric Ross Komitee, of New York, ", United States District Judge , Eastern District of New York,5/21/2019,Judiciary,12/3/2019,Confirmed by the Senate by Yea-Nay Vote, 86 - 4, Record Vote Number: 369,,196,4. Trump,Republican,,86,4,82
PN775,https://www.congress.gov/nomination/116th-congress/775,116th Congress (2019-2020),Diane Gujarati,The Judiciary,"Diane Gujarati, of New York, ", United States District Judge , Eastern District of New York,5/21/2019,Judiciary,9/10/2020,Confirmed by the Senate by Yea-Nay Vote, 99 - 0, Record Vote Number: 167,,478,4. Trump,Republican,,99,0,99
PN774,https://www.congress.gov/nomination/116th-congress/774,116th Congress (2019-2020),Stephanie A. Gallagher,The Judiciary,"Stephanie A. Gallagher, of Maryland, ", United States District Judge , District of Maryland,5/21/2019,Judiciary,9/11/2019,Confirmed by the Senate by Voice Vote,,,,113,4. Trump,Republican,,,,0
PN773,https://www.congress.gov/nomination/116th-congress/773,116th Congress (2019-2020),Gary Richard Brown,The Judiciary,"Gary Richard Brown, of New York, ", United States District Judge , Eastern District of New York,5/21/2019,Judiciary,12/19/2019,Confirmed by the Senate by Voice Vote,,,,212,4. Trump,Republican,,,,0
PN729,https://www.congress.gov/nomination/116th-congress/729,116th Congress (2019-2020),Jennifer Philpott Wilson,The Judiciary,"Jennifer Philpott Wilson, of Pennsylvania, ", United States District Judge , Middle District of Pennsylvania,5/13/2019,Judiciary,11/7/2019,Confirmed by the Senate by Yea-Nay Vote, 88 - 3, Record Vote Number: 351,,178,4. Trump,Republican,,88,3,85
PN727,https://www.congress.gov/nomination/116th-congress/727,116th Congress (2019-2020),William Shaw Stickman IV,The Judiciary,"William Shaw Stickman IV, of Pennsylvania, ", United States District Judge , Western District of Pennsylvania,5/13/2019,Judiciary,7/31/2019,Confirmed by the Senate by Yea-Nay Vote, 56 - 34, Record Vote Number: 258,,79,4. Trump,Republican,,56,34,22
PN726,https://www.congress.gov/nomination/116th-congress/726,116th Congress (2019-2020),Kea Whetzal Riggs,The Judiciary,"Kea Whetzal Riggs, of New Mexico, ", United States District Judge , District of New Mexico,5/13/2019,Judiciary,12/19/2019,Confirmed by the Senate by Yea-Nay Vote, 94 - 0, Record Vote Number: 423,,220,4. Trump,Republican,,94,0,94
PN725,https://www.congress.gov/nomination/116th-congress/725,116th Congress (2019-2020),Peter Joseph Phipps,The Judiciary,"Peter Joseph Phipps, of Pennsylvania, ", United States Circuit Judge , Third Circuit,5/13/2019,Judiciary,7/16/2019,Confirmed by the Senate by Yea-Nay Vote, 56 - 40, Record Vote Number: 205,,64,4. Trump,Republican,,56,40,16
PN722,https://www.congress.gov/nomination/116th-congress/722,116th Congress (2019-2020),Charles R. Eskridge III,The Judiciary,"Charles R. Eskridge III, of Texas, ", United States District Judge , Southern District of Texas,5/13/2019,Judiciary,10/16/2019,Confirmed by the Senate by Yea-Nay Vote, 61 - 31, Record Vote Number: 321,,156,4. Trump,Republican,,61,31,30
PN720,https://www.congress.gov/nomination/116th-congress/720,116th Congress (2019-2020),Douglas Russell Cole,The Judiciary,"Douglas Russell Cole, of Ohio, ", United States District Judge , Southern District of Ohio,5/13/2019,Judiciary,12/4/2019,Confirmed by the Senate by Yea-Nay Vote, 63 - 30, Record Vote Number: 380,,205,4. Trump,Republican,,63,30,33
PN566,https://www.congress.gov/nomination/116th-congress/566,116th Congress (2019-2020),Steven D. Grimberg,The Judiciary,"Steven D. Grimberg, of Georgia, ", United States District Judge , Northern District of Georgia,4/4/2019,Judiciary,9/11/2019,Confirmed by the Senate by Yea-Nay Vote, 75 - 18, Record Vote Number: 278,,160,4. Trump,Republican,,75,18,57
PN559,https://www.congress.gov/nomination/116th-congress/559,116th Congress (2019-2020),Frank William Volk,The Judiciary,"Frank William Volk, of West Virginia, ", United States District Judge , Southern District of West Virginia,4/4/2019,Judiciary,10/16/2019,Confirmed by the Senate by Yea-Nay Vote, 92 - 0, Record Vote Number: 320,,195,4. Trump,Republican,,92,0,92
PN525,https://www.congress.gov/nomination/116th-congress/525,116th Congress (2019-2020),David John Novak,The Judiciary,"David John Novak, of Virginia, ", United States District Judge , Eastern District of Virginia,3/26/2019,Judiciary,10/16/2019,Confirmed by the Senate by Yea-Nay Vote, 89 - 3, Record Vote Number: 322,,204,4. Trump,Republican,,89,3,86
PN524,https://www.congress.gov/nomination/116th-congress/524,116th Congress (2019-2020),Ada E. Brown,The Judiciary,"Ada E. Brown, of Texas, ", United States District Judge , Northern District of Texas,3/26/2019,Judiciary,9/11/2019,Confirmed by the Senate by Yea-Nay Vote, 80 - 13, Record Vote Number: 277,,169,4. Trump,Republican,,80,13,67
